# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 14 23:02:54 HKT 2024 [seed=1720969373677]
# outbreak.seq_run_2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.clock.rate	host.clock.rate	default.meanRate	host.meanRate	host.rates.human.pig	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	coalescent
0	-201819.11948302138	-91.39333325745349	-201727.7261497639	1.1103807886918462	2023.1710399763356	9.819634345731295	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	1.0	1.0	-201631.8714429695	0.0	0.0	-95.85470679440651	-71.12697082092093
1000	-73622.13234842045	-56.183079432952354	-73565.94926898749	0.8060670830058123	2023.4753536820217	7.589367196113656	0.7401405254914559	0.8754368773932903	2.827091460143376	0.2578825899845299	0.2499999999	0.24492569360643107	0.247191716509039	0.3226254162548915	1.6947716155369887	0.32262541625489155	1.6947716155369879	0.26203257392629925	-73479.9745160377	0.0	0.0	-85.97475294978861	-40.13642316986071
2000	-43542.088574671696	-34.87839960322313	-43507.210175068474	0.7894346708496495	2023.4919860941777	6.738033583048201	0.5971282707653898	1.6129521943183556	2.761961637679515	0.2787082571805231	0.23607694289807707	0.2497761776619443	0.23543862225945553	0.11184317749972095	2.1714152382048604	0.11184317749972089	2.1714152382048586	1.4552114348014256	-43427.16807758982	0.0	0.0	-80.04209747865214	-17.352372608997666
3000	-32452.80090723957	-8.488488231539009	-32444.31241900803	0.7482737709664014	2023.533146994061	5.972959501727317	0.3793570207425876	0.5499224264660791	2.212483776624766	0.28449499658959426	0.23399105667401926	0.24929332909712715	0.2322206176392593	0.013581164473649274	2.0960057590535284	0.013581164473649276	2.0960057590535297	1.8196177398193811	-32357.875934735726	0.0	0.0	-86.43648427230544	3.9413699108233633
4000	-31036.212112362246	-95.1897815498203	-30941.022330812426	0.7853725959284907	2023.496048169099	8.903386958440727	1.0340438493242006	0.6539271808671712	2.1094210506285833	0.3034880501779179	0.21626785754986932	0.24200802735521346	0.23823606491699922	0.0036635708486211496	1.6071405762264692	0.00366357084862115	1.6071405762264699	0.5483395956294942	-30868.932946148812	0.0	0.0	-72.08938466361258	-82.41109575927649
5000	-30247.844553789902	-158.61303657221336	-30089.23151721769	0.8159832105990517	2023.4654375544283	12.610372742608202	2.7666023089660814	2.627988526214828	1.34273520549169	0.3158680263717071	0.1942545172012328	0.2324638357251605	0.2574136207018996	0.0021018938896580843	1.4727996272531096	0.0021018938896580864	1.4727996272531108	0.6683812453034224	-30018.53530967071	0.0	0.0	-70.69620754697785	-139.48129643982145
6000	-30052.937894899107	-147.06282324260516	-29905.8750716565	0.7172398068303517	2023.564180958197	11.57319442052497	5.29167619946099	4.223768138041153	1.268724486566221	0.3158680263717071	0.18311059487219636	0.23238723804036884	0.2686341407157277	0.0020591245026572364	1.339336775731559	0.0020591245026572364	1.3393367757315593	0.9595178711358199	-29835.135297188564	0.0	0.0	-70.73977446793619	-128.4724962069705
7000	-29861.931119704892	-147.45979053843664	-29714.471329166456	0.647155671682511	2023.634265093345	11.701102754021562	4.328712213862989	3.651447600024058	0.7981667457393432	0.330073097903095	0.1825845631604421	0.21924493738620884	0.2680974015502541	0.0022681337714760205	0.9454499594250863	0.002268133771476023	0.9454499594250865	1.4225002091973356	-29639.590266361192	0.0	0.0	-74.8810628052621	-133.92004986693328
8000	-29556.255748683172	-150.3971153528017	-29405.858633330372	0.8943433613891698	2023.3870774036382	12.336613588458595	5.699472580872934	4.724327556679418	0.8603739708360708	0.330073097903095	0.1825845631604421	0.21924493738620884	0.2680974015502541	0.001845799919427169	1.270756666909241	0.001845799919427168	1.2707566669092414	0.7745538326243622	-29337.182336736634	0.0	0.0	-68.67629659373753	-131.53714473604634
9000	-29450.448451063367	-162.95932614050642	-29287.48912492286	0.8423827670842671	2023.4390379979432	13.069107492877016	9.265235633720575	5.952541900750617	0.8254035225148597	0.32911265288827096	0.18725695286127778	0.20861019069292736	0.27502020355752393	0.0019088804924311331	1.487714866609485	0.0019088804924311349	1.4877148666094842	0.5963350970653879	-29224.275189897555	0.0	0.0	-63.213935025306185	-138.76747280133577
