# BEAST v10.5.0-beta4 Prerelease #46f5180b7
# Generated Mon Oct 28 22:11:02 CET 2024 [seed=1730149708890]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-23329.029134035623	-62.9403418103347	-23266.088792225288	1.9614094411969205	2007.441590558803	9.992742544124967	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	9.999999999999998E-4	-23266.088792225288	0.0	-54.36893391501321
100	-22649.351298467853	-181.88939145798255	-22467.46190700987	2.798433433359871	2006.6045665666402	21.90366733150959	1.0	0.0	2.0	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	7.119998163661299E-4	7.119998163661299E-4	-22467.46190700987	0.0	-173.97954518032273
200	-22330.364062187145	-183.57105561236915	-22146.793006574775	2.7940970716680433	2006.6089029283319	24.57437143796567	1.0041371625727775	-1.4060850680581027	2.0	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	8.260733460942402E-4	8.260733460942404E-4	-22146.793006574775	0.0	-175.6215370686954
300	-22192.18601101689	-185.822849557174	-22006.363161459714	2.790959825632826	2006.6120401743672	24.41962093462425	1.0041371625727775	-1.8798236812829516	2.9754238051827695	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	0.0011498711765448194	0.0011498711765448194	-22006.363161459714	0.0	-177.3225722126491
400	-22017.55749399269	-184.71309884058996	-21832.844395152097	2.8277505263913927	2006.5752494736087	26.402923845185967	1.3681767283513042	-1.667928413335889	2.9754238051827695	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	0.001108432767525614	0.001108432767525614	-21832.844395152097	0.0	-175.96174425622453
500	-21876.5029906319	-162.5728339576396	-21713.93015667426	2.485636736164607	2006.9173632638353	25.276154459930588	1.8269905802778934	-1.2783916430206004	3.562584000430571	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	0.0012609933286858433	0.0012609933286858433	-21713.93015667426	0.0	-153.2462263971766
600	-21826.404566642155	-179.11494069122517	-21647.28962595093	2.6358890224973135	2006.7671109775026	29.074407434905485	1.843274940424859	-0.8763507420771757	3.562584000430571	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.44753601448732194	9.837535570245265E-4	9.837535570245259E-4	-21647.28962595093	0.0	-169.98088166649603
700	-21664.90337846783	-170.8434744453255	-21494.059904022502	2.6567173856032413	2006.7462826143967	29.82638148084338	2.6273620355408265	-0.9660869382120088	3.8670918213096908	0.25895608691720123	0.2499999999	0.2586011884006578	0.23244272478214092	0.2657622717059317	9.204109010728331E-4	9.204109010728324E-4	-21494.059904022502	0.0	-161.66602686691124
800	-21571.227044521813	-165.88707050335321	-21405.33997401846	2.526915447388828	2006.8760845526112	28.64693039901512	3.169537921360567	-0.8082178451031756	5.022240260377526	0.2617757120047163	0.24718037481248495	0.2586011884006578	0.23244272478214092	0.2657622717059317	9.887065018825004E-4	9.887065018825004E-4	-21405.33997401846	0.0	-156.1242077527958
900	-21511.726845300094	-145.00766974371527	-21366.71917555638	2.0588672013776934	2007.3441327986222	22.650034859166684	3.169537921360567	-0.3852275317961458	5.022240260377526	0.2617757120047163	0.24718037481248495	0.2586011884006578	0.23244272478214092	0.21418578970364147	0.0011867698251726427	0.0011867698251726427	-21366.71917555638	0.0	-135.14489396737446
1000	-21455.919611477413	-139.69122301903292	-21316.22838845838	1.9991819866063922	2007.4038180133937	22.567332217540148	4.338114353631947	-0.03804130412761508	5.022240260377526	0.2617757120047163	0.24718037481248495	0.2586011884006578	0.23244272478214092	0.13723982546905375	0.0011684790509611884	0.0011684790509611889	-21316.22838845838	0.0	-129.67755038688762
1100	-21363.933453092013	-136.78311776861568	-21227.150335323397	1.9765446337615777	2007.4264553662385	24.07363636593515	6.783046723866431	1.1648332231157357	5.022240260377526	0.2617757120047163	0.23980824490519537	0.2586011884006578	0.2398148546894305	0.13723982546905375	0.0011588457273370668	0.0011588457273370668	-21227.150335323397	0.0	-126.3441107140183
